Title,Date,URL,Thumbnail
Snyk-Generated SBOMs Now Include License Details for the Open Source Libraries in Your Projects,"December 9, 2024",https://snyk.io/blog/include-license-info-in-your-sboms/,https://res.cloudinary.com/snyk/image/upload/v1686145798/blog-feature-supply-chain-sbom.jpg
2024 Open Source Security Report: Slowing Progress and New Challenges for DevSecOps,"December 3, 2024",https://snyk.io/blog/2024-open-source-security-report-slowing-progress-and-new-challenges-for/,https://res.cloudinary.com/snyk/image/upload/v1733243761/SOOS_2024_Featured_Image.png
Going beyond reachability to prioritize what matters most,"October 1, 2024",https://snyk.io/blog/Reachability-for-vuln-prioritization/,https://res.cloudinary.com/snyk/image/upload/v1671633565/wordpress-sync/blog-feature-toolkit.jpg
Weak Hash vulnerability discovered in crypto-js and crypto-es (CVE-2023-46233 & CVE-2023-46133),"October 25, 2023",https://snyk.io/blog/weak-hash-vulnerability-crypto-js-crypto-es/,https://res.cloudinary.com/snyk/image/upload/v1698255134/feature-crypto-vuln.jpg
Find and fix HTTP/2 rapid reset zero-day vulnerability CVE-2023-44487,"October 11, 2023",https://snyk.io/blog/find-fix-http-2-rapid-reset-zero-day-vulnerability-cve-2023-44487/,https://res.cloudinary.com/snyk/image/upload/v1697062814/feature-http2-vuln.jpg
Developer-first supply chain security,"September 19, 2023",https://snyk.io/blog/developer-first-supply-chain-security/,/_next/static/media/default-blog.f4eb278b.svg
"Software Supply Chain Security Tools: Types, Features & Considerations","August 2, 2023",https://snyk.io/blog/supply-chain-security-tools-guide/,/_next/static/media/default-blog.f4eb278b.svg
Secrets Management: Tools & Best Practice,"June 26, 2023",https://snyk.io/blog/secrets-management/,/_next/static/media/default-blog.f4eb278b.svg
How to implement DevSecOps in 4 steps: DevSecOps implementation strategy,"June 22, 2023",https://snyk.io/blog/4-steps-to-implement-devsecops/,https://res.cloudinary.com/snyk/image/upload/v1589487767/Licenting-blog-feature.png
High profile AWS breaches & how to avoid them,"June 7, 2023",https://snyk.io/blog/aws-security-breaches/,/_next/static/media/default-blog.f4eb278b.svg
Lessons from OpenSSL vulnerabilities part 2: Finding and fixing supply chain vulnerabilities,"April 26, 2023",https://snyk.io/blog/lessons-from-openssl-vulnerabilities-part-2/,https://res.cloudinary.com/snyk/image/upload/v1675769725/wordpress-sync/feature-snyk-supply-chain-purple.jpg
Lessons from OpenSSL vulnerabilities part 1: Preparing your supply chain for the next critical vulnerability,"April 19, 2023",https://snyk.io/blog/lessons-from-openssl-vulnerabilities-part-1/,https://res.cloudinary.com/snyk/image/upload/v1675769725/wordpress-sync/feature-snyk-supply-chain-purple.jpg
SnykLaunch recap: Custom Base Image Recommendations,"April 4, 2023",https://snyk.io/blog/snyklaunch-recap-custom-base-image-recommendations/,https://res.cloudinary.com/snyk/image/upload/v1680620326/blog-feature-snyklaunch-container-images.png
Top AWS Security Risks & Prevention,"March 1, 2023",https://snyk.io/blog/aws-security-risks-prevention/,/_next/static/media/default-blog.f4eb278b.svg
Three ways Snyk made software supply chains more secure in 2022,"January 12, 2023",https://snyk.io/blog/snyk-software-supply-chain-security-2022-review/,https://res.cloudinary.com/snyk/image/upload/v1530707820/wordpress-sync/feature-snyk-supply-chain-purple.jpg
"What's new in Elastic Observability 7.13: Native Azure console integration, Fleet Server, and enhanced APM workflows",25 May 2021,https://www.elastic.co/blog/whats-new-elastic-observability-7-13-0,https://static-www.elastic.co/v3/assets/bltefdd0b53724fa2ce/blt80837971b91f17db/5ffe08dd2c2bd44889c7e731/blog-thumb-release-observability.png
Getting started with free and open Elastic Observability,21 April 2021,https://www.elastic.co/blog/getting-started-with-free-and-open-elastic-observability,https://static-www.elastic.co/v3/assets/bltefdd0b53724fa2ce/blt80837971b91f17db/5ffe08dd2c2bd44889c7e731/blog-thumb-release-observability.png
How to monitor containerized Kafka with Elastic Observability,24 March 2021,https://www.elastic.co/blog/how-to-monitor-containerized-kafka-with-elastic-observability,https://images.contentstack.io/v3/assets/bltefdd0b53724fa2ce/blt4f229e28039a830b/604780e61322a9094ddef3d3/metricbeat-kafka-dashboard-header.png
Ingesting metrics securely using role-based access control (RBAC),09 June 2020,https://www.elastic.co/blog/ingesting-metrics-securely-elastic-stack-role-based-access-control-rbac,https://static-www.elastic.co/v3/assets/bltefdd0b53724fa2ce/blt35565b9600faea7a/601057710cb0aa0ffcdd5934/blog-thumb-release-metrics.png
Identifying and monitoring key metrics for your hosts and systems,27 May 2020,https://www.elastic.co/blog/identifying-and-monitoring-key-metrics-for-your-hosts-and-systems,https://static-www.elastic.co/v3/assets/bltefdd0b53724fa2ce/blt35565b9600faea7a/601057710cb0aa0ffcdd5934/blog-thumb-release-metrics.png
KubeCon 2019:  Elastic Doubles Down on Observability and Orchestration for Kubernetes,19 November 2019,https://www.elastic.co/blog/kubecon-2019-elastic-doubles-down-on-observability-and-orchestration-for-kubernetes,https://static-www.elastic.co/v3/assets/bltefdd0b53724fa2ce/blt80837971b91f17db/5ffe08dd2c2bd44889c7e731/blog-thumb-release-observability.png
Elastic APM 7.2.0 released,25 June 2019,https://www.elastic.co/blog/elastic-apm-7-2-0-released,https://static-www.elastic.co/v3/assets/bltefdd0b53724fa2ce/bltf6df66d771a04d6d/6010533b27b1080f843707d3/blog-thumb-release-apm.png
Elastic Logs 7.2.0 released,25 June 2019,https://www.elastic.co/blog/elastic-logs-7-2-0-released,https://static-www.elastic.co/v3/assets/bltefdd0b53724fa2ce/blt759e686ab2e08ab0/601056d10a80720ff10f37d1/blog-thumb-release-logs.png
Elastic Infrastructure 7.2.0 released,25 June 2019,https://www.elastic.co/blog/elastic-infrastructure-7-2-0-released,https://static-www.elastic.co/v3/assets/bltefdd0b53724fa2ce/blt35565b9600faea7a/601057710cb0aa0ffcdd5934/blog-thumb-release-metrics.png
Elastic Infrastructure 7.0 released,10 April 2019,https://www.elastic.co/blog/elastic-infrastructure-7-0-0-released,https://static-www.elastic.co/v3/assets/bltefdd0b53724fa2ce/blt35565b9600faea7a/601057710cb0aa0ffcdd5934/blog-thumb-release-metrics.png
Monitoring Applications with Elasticsearch and Elastic APM,30 January 2019,https://www.elastic.co/blog/monitoring-applications-with-elasticsearch-and-elastic-apm,https://static-www.elastic.co/v3/assets/bltefdd0b53724fa2ce/blt335dee0ea0c58956/601cb46af13a6d4c0c256aaa/screenshot-apm-distributed-tracing.jpg
Tutorial: Getting Started on Elastic Cloud with a Sample Dataset for hosted Elasticsearch and the Elastic Stack,25 May 2018,https://www.elastic.co/blog/getting-started-with-hosted-elasticsearch-and-a-sample-dataset,https://static-www.elastic.co/v3/assets/bltefdd0b53724fa2ce/blt9249a7101bf25edc/5bbcaec90e6edaf014d23bee/elastic-cloud-tutorial.jpg
Here to Help... (An Elastic{ON} Canvas Story),28 March 2018,https://www.elastic.co/blog/elasticon-kibana-canvas-story-ama,https://static-www.elastic.co/v3/assets/bltefdd0b53724fa2ce/blt201a29e5df1b07ce/5c306a76ebb7714d6602710a/AMA-Thumbnail.png
"But First, Coffee... (An Elastic{ON} Canvas Story)",14 March 2018,https://www.elastic.co/blog/elasticon-kibana-canvas-story-elasticoffee,https://static-www.elastic.co/v3/assets/bltefdd0b53724fa2ce/blt95f28574b0ce66d2/5c57eb9edfaabbd40b9c29c4/elasticon-canvas-story-elasticoffee-image.jpg
Monitor Your System with Metricbeat and Elastic Cloud,07 September 2017,https://www.elastic.co/blog/ship-metrics-with-metricbeat-to-hosted-elasticsearch-elastic-cloud,https://static-www.elastic.co/v3/assets/bltefdd0b53724fa2ce/bltd57ce7c08215b421/5bc43e9dd80705b07f653bb2/blog-metricbeat-thumb.jpg
